"State","Nmfsname"
"Maine","Flounder, Witch"
"Maine","Cod, Atlantic"
"Maine","Pollock"
"Maine","Clam, Quahog, Ocean"
"Maine","Shrimps, Penaeoid"
"Maine","Scallop, Sea"
"Maine","Flounder, American Plaice"
"Maine","Herring, Atlantic"
"Maine","Goosefish"
"Maine","Clam, Soft"
"Maine","Urchins, Sea, Strongylocentrotus"
"Maine","Lobster, American"
"Maryland","All Species"
"Maryland","Octopuses"
"Maryland","Toadfishes, Batrachoididae"
"Maryland","Dealfish"
"Maryland","Redfish, Acadian"
"Maryland","Tuna, Skipjack"
"Maryland","Escolar"
"Maryland","Tarpon"
"Maryland","Hakes, Red And White"
"Maryland","Terrapin, Diamondback"
"Maryland","Cusk"
"Maryland","Pompano, Florida"
"Maryland","Porgies"
"Maryland","Crab, Atlantic Rock"
"Maryland","Jack, Crevalle"
"Maryland","Amberjacks"
"Maryland","Shark, Dusky"
"Maryland","Shrimp, Northern Brown"
"Maryland","Sheepshead"
"Maryland","Suckers"
"Maryland","Reptiles"
"Maryland","Mullet, Striped"
"Maryland","Sturgeons"
"Maryland","Grunts, Haemulidae"
"Maryland","Flounder, Witch"
"Maryland","Perch, Sand"
"Maryland","Hake, Red"
"Maryland","Hogfish"
"Maryland","Sharks, Chondrichthyes"
"Maryland","Shark, Bull"
"Maryland","Hake, Silver"
"Maryland","Shark, Silky"
"Maryland","Mackerel, King And Cero"
"Maryland","Shark, Thresher"
"Maryland","Shark, Sand Tiger"
"Maryland","Tuna, Blackfin"
"Maryland","Drum, Black"
"Maryland","Shark, Blacktip"
"Maryland","Drum, Red"
